instance_date,area_name_en,property_type_en,property_sub_type_en,rooms_en,reg_type_en,procedure_area,actual_worth,meter_sale_price,building_name_en,trans_group_en,nearest_metro_en,nearest_mall_en,sqft,ppsf
2020-01-19,EMAAR SOUTH,Apartment,Apartment,2 B/R,Off-Plan,108.6,1043917.0,9612.0,Almeria,Sales,UAE Exchange,Dubai Hills Mall,1169.0,893.0
2020-01-02,EMAAR SOUTH,Apartment,Apartment,Studio,Off-Plan,44.6,472800.0,10603.0,Mimosa,Sales,UAE Exchange,Dubai Hills Mall,480.0,985.0
2020-01-21,EMAAR SOUTH,Apartment,Apartment,2 B/R,Off-Plan,92.5,937236.0,10129.0,Golf Links,Sales,UAE Exchange,Dubai Hills Mall,996.0,941.0
2020-01-10,EMAAR SOUTH,Apartment,Apartment,1 B/R,Off-Plan,65.7,570549.0,8687.0,Expo Golf Villas,Sales,UAE Exchange,Dubai Hills Mall,707.0,807.0
2020-01-05,EMAAR SOUTH,Apartment,Apartment,1 B/R,Off-Plan,78.5,735150.0,9365.0,Expo Golf Villas,Sales,UAE Exchange,Dubai Hills Mall,845.0,870.0
2020-01-02,EMAAR SOUTH,Apartment,Apartment,2 B/R,Off-Plan,102.5,872473.0,8514.0,Fairway Residences,Sales,UAE Exchange,Dubai Hills Mall,1103.0,791.0
2020-01-08,EMAAR SOUTH,Apartment,Apartment,1 B/R,Off-Plan,70.1,724800.0,10333.0,Expo Golf Villas,Sales,UAE Exchange,Dubai Hills Mall,755.0,960.0
2020-01-10,EMAAR SOUTH,Apartment,Apartment,3 B/R,Off-Plan,144.5,1293760.0,8956.0,Fairway Residences,Sales,UAE Exchange,Dubai Hills Mall,1555.0,832.0
2020-01-02,EMAAR SOUTH,Apartment,Apartment,1 B/R,Ready,78.1,806519.0,10323.0,Mulberry Park,Sales,UAE Exchange,Dubai Hills Mall,841.0,959.0
2020-01-21,EMAAR SOUTH,Apartment,Apartment,2 B/R,Off-Plan,108.6,988974.0,9106.0,Mimosa,Sales,UAE Exchange,Dubai Hills Mall,1169.0,846.0
2020-01-09,EMAAR SOUTH,Apartment,Apartment,1 B/R,Off-Plan,58.9,516710.0,8773.0,Golf Links,Sales,UAE Exchange,Dubai Hills Mall,634.0,815.0
2020-01-19,EMAAR SOUTH,Apartment,Apartment,Studio,Off-Plan,38.5,337824.0,8783.0,Golf Links,Sales,UAE Exchange,Dubai Hills Mall,414.0,816.0
