instance_date,area_name_en,project_en,property_type_en,rooms_en,reg_type_en,procedure_area,actual_worth,transaction_number
2026-01-02,DUBAI CREEK HARBOUR,Altan,Apartment,3 B/R,Off-Plan,171.65,4329888,102-100-2026
2026-01-29,DUBAI CREEK HARBOUR,Creek Bay,Apartment,1 B/R,Off-Plan,100.92,2443888,102-10032-2026
2026-01-29,EMAAR SOUTH,Greenway 2,Villa,3 B/R,Off-Plan,172.51,3031888,102-10070-2026
2026-01-29,DUBAI CREEK HARBOUR,Address Residences l Dubai Creek Harbour,Apartment,3 B/R,Off-Plan,177.55,6008888,102-10332-2026
2026-01-29,DUBAI CREEK HARBOUR,Silva,Apartment,3 B/R,Off-Plan,302.25,6312888,102-10368-2026
2026-01-29,DUBAI CREEK HARBOUR,Lyvia by Palace,Apartment,1 B/R,Off-Plan,70.68,1989888,102-10378-2026
2026-01-29,DUBAI CREEK HARBOUR,Lyvia by Palace,Apartment,1 B/R,Off-Plan,71.97,2017888,102-10394-2026
2026-01-29,DUBAI CREEK HARBOUR,Montiva,Apartment,2 B/R,Off-Plan,106.2,3016888,102-10432-2026
2026-01-29,DUBAI CREEK HARBOUR,Silva,Apartment,2 B/R,Off-Plan,133.78,3075888,102-10435-2026
2026-01-29,DUBAI CREEK HARBOUR,Creek Bay,Apartment,1 B/R,Off-Plan,68.45,1829888,102-10452-2026
2026-01-29,DUBAI CREEK HARBOUR,Silva,Apartment,3 B/R,Off-Plan,302.25,6312888,102-10482-2026
2026-01-29,DUBAI CREEK HARBOUR,Lyvia by Palace,Apartment,2 B/R,Off-Plan,115.33,3023888,102-10492-2026
2026-01-29,DUBAI CREEK HARBOUR,Creek Haven,Apartment,1 B/R,Off-Plan,81.4,1912850,102-10526-2026
2026-01-30,DUBAI CREEK HARBOUR,Creek Bay,Apartment,2 B/R,Off-Plan,134.76,3346888,102-10697-2026
2026-01-30,DUBAI CREEK HARBOUR,Silva,Apartment,2 B/R,Off-Plan,133.78,3081888,102-10698-2026
2026-01-30,DUBAI CREEK HARBOUR,Altan,Apartment,3 B/R,Off-Plan,171.7,4251888,102-10699-2026
2026-01-30,DUBAI CREEK HARBOUR,Creek Haven,Apartment,1 B/R,Off-Plan,68.13,1886888,102-10700-2026
2026-01-30,DUBAI CREEK HARBOUR,Creek Haven,Apartment,2 B/R,Off-Plan,110.63,3327888,102-10701-2026
2026-01-30,DUBAI CREEK HARBOUR,Creek Haven,Apartment,2 B/R,Off-Plan,115.05,3661888,102-10702-2026
2026-01-06,EMAAR SOUTH,Golf Hills 2,Apartment,2 B/R,Off-Plan,92.45,1890310,102-1071-2026
2026-01-30,EMAAR SOUTH,Golf Verge,Apartment,2 B/R,Off-Plan,144.98,2681888,102-10715-2026
2026-01-06,DUBAI CREEK HARBOUR,Lyvia by Palace,Apartment,1 B/R,Off-Plan,70.22,2166888,102-1072-2026
2026-01-30,EMAAR SOUTH,Golf Hills,Apartment,2 B/R,Off-Plan,92.45,1764888,102-10726-2026
2026-01-30,EMAAR SOUTH,Golf Hills,Apartment,3 B/R,Off-Plan,161.55,3163888,102-10742-2026
2026-01-30,EMAAR SOUTH,Golf Verge,Apartment,2 B/R,Off-Plan,121.56,2562888,102-10753-2026
2026-01-30,EMAAR SOUTH,Golf Hills,Apartment,2 B/R,Off-Plan,98.55,1531888,102-10755-2026
2026-01-06,DUBAI CREEK HARBOUR,Lyvia by Palace,Apartment,2 B/R,Off-Plan,106.28,3124888,102-1078-2026
2026-01-30,DUBAI CREEK HARBOUR,Montiva,Apartment,1 B/R,Off-Plan,70.13,1936888,102-10833-2026
2026-01-06,DUBAI CREEK HARBOUR,Lyvia by Palace,Apartment,2 B/R,Off-Plan,112.06,3289888,102-1084-2026
2026-01-30,EMAAR SOUTH,Vista Ridge,Apartment,2 B/R,Off-Plan,128.47,2009888,102-10847-2026
2026-01-30,EMAAR SOUTH,Vista Ridge,Apartment,1 B/R,Off-Plan,76.71,1351888,102-10854-2026
2026-01-30,EMAAR SOUTH,Vista Ridge,Apartment,2 B/R,Off-Plan,127.41,2677888,102-10858-2026
2026-01-30,EMAAR SOUTH,Vista Ridge,Apartment,2 B/R,Off-Plan,127.71,2076888,102-10863-2026
2026-01-30,EMAAR SOUTH,Golf Verge,Apartment,2 B/R,Off-Plan,122.35,2579888,102-10867-2026
2026-01-06,DUBAI CREEK HARBOUR,Montiva,Apartment,2 B/R,Off-Plan,111.98,3025888,102-1087-2026
2026-01-06,DUBAI CREEK HARBOUR,Lyvia by Palace,Apartment,3 B/R,Off-Plan,170.5,4238888,102-1096-2026
2026-01-06,DUBAI CREEK HARBOUR,Montiva,Apartment,1 B/R,Off-Plan,84.97,2353888,102-1103-2026
2026-01-06,DUBAI CREEK HARBOUR,Lyvia by Palace,Apartment,3 B/R,Off-Plan,170.5,4269888,102-1117-2026
2026-01-06,DUBAI CREEK HARBOUR,Lyvia by Palace,Apartment,1 B/R,Off-Plan,72.95,2065888,102-1127-2026
2026-01-06,DUBAI CREEK HARBOUR,Creek Bay,Apartment,1 B/R,Off-Plan,71,2106888,102-1150-2026
2026-01-06,DUBAI CREEK HARBOUR,Lyvia by Palace,Apartment,3 B/R,Off-Plan,170.5,4190888,102-1274-2026
2026-01-06,DUBAI CREEK HARBOUR,Lyvia by Palace,Apartment,1 B/R,Off-Plan,70.22,2127888,102-1281-2026
2026-01-06,DUBAI CREEK HARBOUR,Lyvia by Palace,Apartment,2 B/R,Off-Plan,106.28,3141888,102-1285-2026
